time	V(n001)	V(n002)
1.995221875149583e-003	1.892412e+000	1.171410e+000
2.004987500149583e-003	1.932155e+000	1.210207e+000
2.014753125149582e-003	1.963015e+000	1.240352e+000
2.024518750149582e-003	1.984698e+000	1.261542e+000
2.034284375149582e-003	1.996998e+000	1.273565e+000
2.044050000149582e-003	1.999797e+000	1.276302e+000
2.053815625149582e-003	1.993069e+000	1.269725e+000
2.063581250149581e-003	1.976878e+000	1.253899e+000
2.073346875149581e-003	1.951378e+000	1.228984e+000
2.083112500149581e-003	1.916813e+000	1.195227e+000
2.092878125149581e-003	1.873510e+000	1.152967e+000
2.102643750149580e-003	1.821884e+000	1.102629e+000
2.112409375149580e-003	1.762426e+000	1.044721e+000
2.122175000149580e-003	1.695703e+000	9.798301e-001
2.131940625149580e-003	1.622351e+000	9.086224e-001
2.141706250149580e-003	1.543068e+000	8.318350e-001
2.151471875149579e-003	1.458609e+000	7.502765e-001
2.171003125149579e-003	1.277429e+000	5.764362e-001
2.200300000149578e-003	9.881489e-001	3.047441e-001
2.210065625149578e-003	8.907111e-001	2.168511e-001
2.219831250149578e-003	7.943147e-001	1.345455e-001
2.229596875149578e-003	6.998783e-001	6.498288e-002
2.239362500149578e-003	6.083019e-001	2.016970e-002
2.249128125149577e-003	5.204580e-001	2.969847e-003
2.258893750149577e-003	4.371838e-001	1.453339e-004
2.268659375149577e-003	3.592727e-001	6.029378e-006
2.278425000149577e-003	2.874672e-001	3.045756e-007
2.288190625149577e-003	2.224516e-001	1.978195e-008
2.297956250149576e-003	1.648453e-001	1.788769e-009
2.307721875149576e-003	1.151974e-001	3.033208e-010
2.317487500149576e-003	7.398092e-002	1.053933e-010
2.327253125149576e-003	4.158862e-002	4.991398e-011
2.337018750149575e-003	1.832918e-002	2.210461e-011
2.346784375149575e-003	4.424247e-003	7.078220e-012
2.356550000149575e-003	6.319360e-006	2.402672e-012
2.366198151134768e-003	4.999490e-003	7.654949e-012
2.375963776134768e-003	1.947767e-002	2.337227e-011
2.385729401134768e-003	4.329941e-002	5.214119e-011
2.395495026134768e-003	7.623772e-002	1.105827e-010
2.405260651134767e-003	1.179787e-001	3.284591e-010
2.415026276134767e-003	1.681246e-001	2.020391e-009
2.424791901134767e-003	2.261976e-001	2.312574e-008
2.434557526134767e-003	2.916443e-001	3.626942e-007
2.444323151134767e-003	3.638410e-001	7.280979e-006
2.454088776134766e-003	4.420998e-001	1.770459e-004
2.463854401134766e-003	5.256749e-001	3.453121e-003
2.473620026134766e-003	6.137699e-001	2.204113e-002
2.483385651134766e-003	7.055454e-001	6.861396e-002
2.493151276134766e-003	8.001269e-001	1.393101e-001
2.502916901134765e-003	8.966129e-001	2.220570e-001
2.512682526134765e-003	9.940841e-001	3.100801e-001
2.541979401134765e-003	1.283127e+000	5.818621e-001
2.561510651134764e-003	1.463876e+000	7.553505e-001
2.571276276134764e-003	1.548042e+000	8.366448e-001
2.581041901134764e-003	1.626986e+000	9.131162e-001
2.590807526134764e-003	1.699955e+000	9.839607e-001
2.600573151134763e-003	1.766254e+000	1.048445e+000
2.610338776134763e-003	1.825251e+000	1.105910e+000
2.620104401134763e-003	1.876384e+000	1.155771e+000
2.629870026134763e-003	1.919166e+000	1.197525e+000
2.639635651134762e-003	1.953190e+000	1.230753e+000
2.649401276134762e-003	1.978130e+000	1.255123e+000
2.659166901134762e-003	1.993749e+000	1.270389e+000
2.668932526134762e-003	1.999899e+000	1.276401e+000
2.678698151134762e-003	1.996521e+000	1.273099e+000
2.688463776134761e-003	1.983646e+000	1.260514e+000
2.698229401134761e-003	1.961398e+000	1.238773e+000
