time	V(n001)	V(n002)	V(n003)
1.186439121639012e-003	3.542697e-001	1.148555e+000	4.779483e-001
1.196204746639012e-003	4.317948e-001	1.147259e+000	4.776560e-001
1.205970371639012e-003	5.147344e-001	1.145972e+000	4.773574e-001
1.215735996639012e-003	6.022982e-001	1.144692e+000	4.770528e-001
1.235267246639012e-003	7.879246e-001	1.142153e+000	4.764271e-001
1.264564121639012e-003	1.079188e+000	1.138394e+000	4.754511e-001
1.293860996639012e-003	1.363702e+000	1.134688e+000	4.744361e-001
1.303626621639012e-003	1.452793e+000	1.133464e+000	4.740900e-001
1.313392246639012e-003	1.537569e+000	1.132244e+000	4.737404e-001
1.323157871639012e-003	1.617223e+000	1.131030e+000	4.733874e-001
1.332923496639012e-003	1.690995e+000	1.129826e+000	4.730312e-001
1.342689121639012e-003	1.758182e+000	1.128683e+000	4.726720e-001
1.352454746639012e-003	1.818145e+000	1.127989e+000	4.723110e-001
1.362220371639013e-003	1.870311e+000	1.129446e+000	4.719537e-001
1.371985996639013e-003	1.914184e+000	1.136606e+000	4.716225e-001
1.381751621639013e-003	1.949345e+000	1.151971e+000	4.713898e-001
1.391517246639013e-003	1.975460e+000	1.172980e+000	4.714305e-001
1.401282871639013e-003	1.992280e+000	1.193583e+000	4.720265e-001
1.411048496639013e-003	1.999644e+000	1.209301e+000	4.734183e-001
1.420814121639013e-003	1.997482e+000	1.218910e+000	4.755734e-001
1.430579746639013e-003	1.985816e+000	1.223162e+000	4.781407e-001
1.440345371639013e-003	1.964755e+000	1.223580e+000	4.806770e-001
1.450110996639013e-003	1.934501e+000	1.221786e+000	4.828933e-001
1.459876621639013e-003	1.895341e+000	1.219061e+000	4.847075e-001
1.469642246639013e-003	1.847650e+000	1.216156e+000	4.861601e-001
1.479407871639013e-003	1.791882e+000	1.213374e+000	4.873245e-001
1.489173496639013e-003	1.728567e+000	1.210779e+000	4.882659e-001
1.498939121639013e-003	1.658310e+000	1.208355e+000	4.890328e-001
1.508704746639013e-003	1.581780e+000	1.206071e+000	4.896601e-001
1.518470371639013e-003	1.499706e+000	1.203902e+000	4.901734e-001
1.528235996639013e-003	1.412870e+000	1.201831e+000	4.905916e-001
1.538001621639013e-003	1.322100e+000	1.199841e+000	4.909297e-001
1.547767246639013e-003	1.228261e+000	1.197921e+000	4.911990e-001
1.557532871639013e-003	1.132246e+000	1.196062e+000	4.914088e-001
1.567298496639013e-003	1.034971e+000	1.194257e+000	4.915668e-001
1.577064121639013e-003	9.373631e-001	1.192499e+000	4.916791e-001
1.586829746639013e-003	8.403519e-001	1.190784e+000	4.917508e-001
1.596595371639013e-003	7.448620e-001	1.189106e+000	4.917864e-001
1.606360996639013e-003	6.518033e-001	1.187462e+000	4.917895e-001
1.616126621639013e-003	5.620627e-001	1.185849e+000	4.917634e-001
